Celebrity,Celebrity_HomeState,Celebrity_HomeCountry,Ballroom_Partner,Celebrity_Population,Population_Scope,Population_Source,Partner_Twitter,Partner_Followers,Followers_Source
Leah Remini,New York,United States,Tony Dovolani,19571216,US_State,Census 2023 PEP,TonyDovolani,180000,Twitter
Leeza Gibbons,South Carolina,United States,Tony Dovolani,5373555,US_State,Census 2023 PEP,TonyDovolani,180000,Twitter
Lele Pons,,Venezuela,Brandon Armstrong,28838499,Country,World Bank 2023,Brandon_DWTS,85000,Twitter
Lil' Kim,New York,United States,Derek Hough,19571216,US_State,Census 2023 PEP,daborhough,1800000,Twitter
Lindsey Stirling,California,United States,Mark Ballas,38965193,US_State,Census 2023 PEP,MarkBallas,650000,Twitter
Lisa Rinna,California,United States,Louis van Amstel,38965193,US_State,Census 2023 PEP,LouisVanAmstel,35000,Twitter
Lisa Vanderpump,,England,Gleb Savchenko,56490048,Country,World Bank 2023,GlebSavchenkoTV,320000,Twitter
Lolo Jones,Iowa,United States,Keo Motsepe,3207004,US_State,Census 2023 PEP,keo_motsepe,95000,Twitter
Louie Vito,Ohio,United States,Chelsie Hightower,11785935,US_State,Census 2023 PEP,ChelsiHightower,95000,Twitter
Macy Gray,Ohio,United States,Jonathan Roberts,11785935,US_State,Census 2023 PEP,,8000,Instagram estimate
Margaret Cho,California,United States,Louis van Amstel,38965193,US_State,Census 2023 PEP,LouisVanAmstel,35000,Twitter
Maria Menounos,Massachusetts,United States,Derek Hough,7001399,US_State,Census 2023 PEP,daborhough,1800000,Twitter
Marie Osmond,Utah,United States,Jonathan Roberts,3417734,US_State,Census 2023 PEP,,8000,Instagram estimate
Marilu Henner,Illinois,United States,Derek Hough,12549689,US_State,Census 2023 PEP,daborhough,1800000,Twitter
Mario,Maryland,United States,Karina Smirnoff,6180253,US_State,Census 2023 PEP,KasrinaSmirnoff,210000,Twitter
Mario Lopez,California,United States,Karina Smirnoff,38965193,US_State,Census 2023 PEP,KasrinaSmirnoff,210000,Twitter
Marissa Jaret Winokur,New York,United States,Tony Dovolani,19571216,US_State,Census 2023 PEP,TonyDovolani,180000,Twitter
Mark Cuban,Pennsylvania,United States,Kym Johnson,12961683,US_State,Census 2023 PEP,KymHerjavec,280000,Twitter
Mark Dacascos,Hawaii,United States,Lacey Schwimmer,1435138,US_State,Census 2023 PEP,LaceySchwimmer,85000,Twitter
Marla Maples,Georgia,United States,Tony Dovolani,11029227,US_State,Census 2023 PEP,TonyDovolani,180000,Twitter
Marlee Matlin,Illinois,United States,Fabian Sanchez,12549689,US_State,Census 2023 PEP,,3000,estimate
Martin Kove,New York,United States,Britt Stewart,19571216,US_State,Census 2023 PEP,BrittStewart,45000,Twitter
Martina Navratilova,,Czechoslovakia,Tony Dovolani,10698896,Country,World Bank 2023,TonyDovolani,180000,Twitter
Mary Lou Retton,West Virginia,United States,Sasha Farber,1770071,US_State,Census 2023 PEP,SashaFarber,180000,Twitter
Mary Wilson,Nevada,United States,Brandon Armstrong,3194176,US_State,Census 2023 PEP,Brandon_DWTS,85000,Twitter
Master P,Louisiana,United States,Ashly DelGrosso,4573749,US_State,Census 2023 PEP,,5000,Instagram estimate
Matt James,North Carolina,United States,Lindsay Arnold,10835491,US_State,Census 2023 PEP,lindsayarnold,380000,Twitter
Matt Walsh,Illinois,United States,Koko Iwasaki,12549689,US_State,Census 2023 PEP,,15000,Instagram estimate
Maureen McCormick,California,United States,Artem Chigvintsev,38965193,US_State,Census 2023 PEP,artemchig,280000,Twitter
Maurice Greene,Kansas,United States,Cheryl Burke,2940546,US_State,Census 2023 PEP,CherylBurke,450000,Twitter
Mauricio Umansky,,Mexico,Emma Slater,128901000,Country,World Bank 2023,EmmaSlaterDance,350000,Twitter
Mel B,,England,Maksim Chmerkoskiy,56490048,Country,World Bank 2023,MaksimC,520000,Twitter
Melanie C,,England,Gleb Savchenko,56490048,Country,World Bank 2023,GlebSavchenkoTV,320000,Twitter
Melissa Gilbert,California,United States,Maksim Chmerkoskiy,38965193,US_State,Census 2023 PEP,MaksimC,520000,Twitter
Melissa Joan Hart,New York,United States,Mark Ballas,19571216,US_State,Census 2023 PEP,MarkBallas,650000,Twitter
Melissa Rycroft,Texas,United States,Tony Dovolani,30503301,US_State,Census 2023 PEP,TonyDovolani,180000,Twitter
Melora Hardin,Texas,United States,Artem Chigvintsev,30503301,US_State,Census 2023 PEP,artemchig,280000,Twitter
Meryl Davis,Michigan,United States,Maksim Chmerkoskiy,10037261,US_State,Census 2023 PEP,MaksimC,520000,Twitter
Metta World Peace (Ron),New York,United States,Peta Murgatroyd,19571216,US_State,Census 2023 PEP,PetaMurgatroyd,620000,Twitter
Michael Bolton,Connecticut,United States,Chelsie Hightower,3617176,US_State,Census 2023 PEP,ChelsiHightower,95000,Twitter
Michael Irvin,Florida,United States,Anna Demidova,22610726,US_State,Census 2023 PEP,,15000,Instagram estimate
Michael Sam,Texas,United States,Peta Murgatroyd,30503301,US_State,Census 2023 PEP,PetaMurgatroyd,620000,Twitter
Michael Waltrip,Kentucky,United States,Emma Slater,4526154,US_State,Census 2023 PEP,EmmaSlaterDance,350000,Twitter
"Mike ""The Miz"" Mizanin",Ohio,United States,Witney Carson,11785935,US_State,Census 2023 PEP,WitneyCarson,520000,Twitter
Mike Catherwood,California,United States,Lacey Schwimmer,38965193,US_State,Census 2023 PEP,LaceySchwimmer,85000,Twitter
Milo Manheim,California,United States,Witney Carson,38965193,US_State,Census 2023 PEP,WitneyCarson,520000,Twitter
Mira Sorvino,New York,United States,Gleb Savchenko,19571216,US_State,Census 2023 PEP,GlebSavchenkoTV,320000,Twitter
Mirai Nagasu,California,United States,Alan Bersten,38965193,US_State,Census 2023 PEP,Dance10Alan,220000,Twitter
Mischa Barton,,England,Artem Chigvintsev,56490048,Country,World Bank 2023,artemchig,280000,Twitter
Misty May-Treanor,California,United States,Maksim Chmerkoskiy,38965193,US_State,Census 2023 PEP,MaksimC,520000,Twitter
Monica Aldama,Alabama,United States,Valentin Chmerkovskiy,5108468,US_State,Census 2023 PEP,ValChmerkoskiy,850000,Twitter
Monica Seles,,Yugoslavia,Jonathan Roberts,6664449,Country,World Bank 2023,,8000,Instagram estimate
Monique Coleman,South Carolina,United States,Louis van Amstel,5373555,US_State,Census 2023 PEP,LouisVanAmstel,35000,Twitter
Mr. T,Illinois,United States,Kym Herjavec,12549689,US_State,Census 2023 PEP,KymHerjavec,280000,Twitter
Mya,Washington D.C.,United States,Dmitry Chaplin,334914895,Country,World Bank 2023,DmitryChaplin,25000,Twitter
Nancy Grace,Georgia,United States,Tristan MacManus,11029227,US_State,Census 2023 PEP,TristanMacManus,75000,Twitter
Nancy Kerrigan,Massachusetts,United States,Artem Chigvintsev,7001399,US_State,Census 2023 PEP,artemchig,280000,Twitter
Nancy McKeon,New York,United States,Valentin Chmerkovskiy,19571216,US_State,Census 2023 PEP,ValChmerkoskiy,850000,Twitter
Nastia Liukin,,Russia,Derek Hough,144444359,Country,World Bank 2023,daborhough,1800000,Twitter
Natalie Coughlin,California,United States,Alec Mazo,38965193,US_State,Census 2023 PEP,AlecMazo,15000,Twitter
NeNe Leakes,New York,United States,Tony Dovolani,19571216,US_State,Census 2023 PEP,TonyDovolani,180000,Twitter
Nelly,Texas,United States,Daniella Karagach,30503301,US_State,Census 2023 PEP,DaniellaKaragach,280000,Twitter
Nev Schulman,New York,United States,Jenna Johnson,19571216,US_State,Census 2023 PEP,jennajohnson,680000,Twitter
Nick Carter,New York,United States,Sharna Burgess,19571216,US_State,Census 2023 PEP,SharnaBurgess,480000,Twitter
Nick Lachey,Kentucky,United States,Peta Murgatroyd,4526154,US_State,Census 2023 PEP,PetaMurgatroyd,620000,Twitter
Nick Viall,Wisconsin,United States,Peta Murgatroyd,5910955,US_State,Census 2023 PEP,PetaMurgatroyd,620000,Twitter
"Nicole ""Snooki"" Polizzi",,Chile,Sasha Farber,19603733,Country,World Bank 2023,SashaFarber,180000,Twitter
Nicole Scherzinger,Hawaii,United States,Derek Hough,1435138,US_State,Census 2023 PEP,daborhough,1800000,Twitter
Niecy Nash,California,United States,Louis van Amstel,38965193,US_State,Census 2023 PEP,LouisVanAmstel,35000,Twitter
Nikki Bella,California,United States,Artem Chigvintsev,38965193,US_State,Census 2023 PEP,artemchig,280000,Twitter
Nikki Glaser,Ohio,United States,Gleb Savchenko,11785935,US_State,Census 2023 PEP,GlebSavchenkoTV,320000,Twitter
Noah Galloway,Alabama,United States,Sharna Burgess,5108468,US_State,Census 2023 PEP,SharnaBurgess,480000,Twitter
Normani,Georgia,United States,Valentin Chmerkovskiy,11029227,US_State,Census 2023 PEP,ValChmerkoskiy,850000,Twitter
Nyle DiMarco,New York,United States,Peta Murgatroyd,19571216,US_State,Census 2023 PEP,PetaMurgatroyd,620000,Twitter
Olivia Jade,California,United States,Valentin Chmerkovskiy,38965193,US_State,Census 2023 PEP,ValChmerkoskiy,850000,Twitter
Paige VanZant,Oregon,United States,Mark Ballas,4233358,US_State,Census 2023 PEP,MarkBallas,650000,Twitter
Pamela Anderson,,Canada,Damian Whitewood,40097761,Country,World Bank 2023,,5000,estimate
Patti LaBelle,Pennsylvania,United States,Artem Chigvintsev,12961683,US_State,Census 2023 PEP,artemchig,280000,Twitter
Paula Deen,Georgia,United States,Louis van Amstel,11029227,US_State,Census 2023 PEP,LouisVanAmstel,35000,Twitter
Paulina Porizkova,,Czechoslovakia,Alec Mazo,10698896,Country,World Bank 2023,AlecMazo,15000,Twitter
Penn Jillette,Massachusetts,United States,Kym Johnson,7001399,US_State,Census 2023 PEP,KymHerjavec,280000,Twitter
Petra Nemcova,,Czechoslovakia,Dmitry Chaplin,10698896,Country,World Bank 2023,DmitryChaplin,25000,Twitter
Phaedra Parks,Georgia,United States,Val Chmerkovskiy,11029227,US_State,Census 2023 PEP,ValChmerkoskiy,850000,Twitter
Priscilla Presley,New York,United States,Louis van Amstel,19571216,US_State,Census 2023 PEP,LouisVanAmstel,35000,Twitter
Rachel Hunter,,New Zealand,Jonathan Roberts,5228100,Country,World Bank 2023,,8000,Instagram estimate
Ralph Macchio,New York,United States,Karina Smirnoff,19571216,US_State,Census 2023 PEP,KasrinaSmirnoff,210000,Twitter
Randy Couture,Washington,United States,Karina Smirnoff,7812880,US_State,Census 2023 PEP,KasrinaSmirnoff,210000,Twitter
Rashad Jennings,Virginia,United States,Emma Slater,8683619,US_State,Census 2023 PEP,EmmaSlaterDance,350000,Twitter
Ray Lewis,Florida,United States,Cheryl Burke,22610726,US_State,Census 2023 PEP,CherylBurke,450000,Twitter
Redfoo,California,United States,Emma Slater,38965193,US_State,Census 2023 PEP,EmmaSlaterDance,350000,Twitter
Reginald VelJohnson,New York,United States,Emma Slater,19571216,US_State,Census 2023 PEP,EmmaSlaterDance,350000,Twitter
Rick Fox,,Canada,Cheryl Burke,40097761,Country,World Bank 2023,CherylBurke,450000,Twitter
Rick Perry,Texas,United States,Emma Slater,30503301,US_State,Census 2023 PEP,EmmaSlaterDance,350000,Twitter
Ricki Lake,New York,United States,Derek Hough,19571216,US_State,Census 2023 PEP,daborhough,1800000,Twitter
Riker Lynch,Colorado,United States,Allison Holker,5877610,US_State,Census 2023 PEP,Alison_Holker,450000,Twitter
Rob Kardashian,California,United States,Cheryl Burke,38965193,US_State,Census 2023 PEP,CherylBurke,450000,Twitter
Robert Herjavec,,Croatia,Kym Johnson,3871833,Country,World Bank 2023,KymHerjavec,280000,Twitter
Robert Irwin,,Australia,Witney Carson,26439111,Country,World Bank 2023,WitneyCarson,520000,Twitter
Rocco DiSpirito,New York,United States,Karina Smirnoff,19571216,US_State,Census 2023 PEP,KasrinaSmirnoff,210000,Twitter
Romeo,Louisiana,United States,Chelsie Hightower,4573749,US_State,Census 2023 PEP,ChelsiHightower,95000,Twitter
Roshon Fegan,California,United States,Chelsie Hightower,38965193,US_State,Census 2023 PEP,ChelsiHightower,95000,Twitter
Rumer Willis,Kentucky,United States,Valentin Chmerkovskiy,4526154,US_State,Census 2023 PEP,ValChmerkoskiy,850000,Twitter
Ryan Lochte,New York,United States,Cheryl Burke,19571216,US_State,Census 2023 PEP,CherylBurke,450000,Twitter
Sabrina Bryan,California,United States,Louis van Amstel,38965193,US_State,Census 2023 PEP,LouisVanAmstel,35000,Twitter
Sadie Robertson,Louisiana,United States,Mark Ballas,4573749,US_State,Census 2023 PEP,MarkBallas,650000,Twitter
Sailor Brinkley-Cook,New York,United States,Valentin Chmerkovskiy,19571216,US_State,Census 2023 PEP,ValChmerkoskiy,850000,Twitter
Sam Champion,Kentucky,United States,Cheryl Burke,4526154,US_State,Census 2023 PEP,CherylBurke,450000,Twitter
Sara Evans,Missouri,United States,Tony Dovolani,6196156,US_State,Census 2023 PEP,TonyDovolani,180000,Twitter
Sasha Pieterse,,South Africa,Gleb Savchenko,60414495,Country,World Bank 2023,GlebSavchenkoTV,320000,Twitter
Scott Hoying,California,United States,Rylee Arnold,38965193,US_State,Census 2023 PEP,ryleearnold,120000,Twitter
Sean Avery,,Canada,Karina Smirnoff,40097761,Country,World Bank 2023,KasrinaSmirnoff,210000,Twitter
Sean Lowe,Texas,United States,Peta Murgatroyd,30503301,US_State,Census 2023 PEP,PetaMurgatroyd,620000,Twitter
Sean Spicer,New York,United States,Lindsay Arnold,19571216,US_State,Census 2023 PEP,lindsayarnold,380000,Twitter
Selma Blair,Michigan,United States,Sasha Farber,10037261,US_State,Census 2023 PEP,SashaFarber,180000,Twitter
Shandi Finnessey,Missouri,United States,Brian Fortuna,6196156,US_State,Census 2023 PEP,,5000,estimate
Shangela,Texas,United States,Gleb Savchenko,30503301,US_State,Census 2023 PEP,GlebSavchenkoTV,320000,Twitter
Shanna Moakler,Rhode Island,United States,Jesse DeSoto,1095962,US_State,Census 2023 PEP,,1000,estimate
Shannen Doherty,Tennessee,United States,Mark Ballas,7126489,US_State,Census 2023 PEP,MarkBallas,650000,Twitter
Shannon Elizabeth,Texas,United States,Derek Hough,30503301,US_State,Census 2023 PEP,daborhough,1800000,Twitter
Shawn Johnson,Iowa,United States,Derek Hough,3207004,US_State,Census 2023 PEP,daborhough,1800000,Twitter
Sherri Sheperd,Illinois,United States,Valentin Chmerkovskiy,12549689,US_State,Census 2023 PEP,ValChmerkoskiy,850000,Twitter
Simone Biles,Ohio,United States,Sasha Farber,11785935,US_State,Census 2023 PEP,SashaFarber,180000,Twitter
Skai Jackson,New York,United States,Alan Bersten,19571216,US_State,Census 2023 PEP,Dance10Alan,220000,Twitter
Stacy Keibler,Maryland,United States,Tony Dovolani,6180253,US_State,Census 2023 PEP,TonyDovolani,180000,Twitter
Stephen Nedoroscik,Florida,United States,Rylee Arnold,22610726,US_State,Census 2023 PEP,ryleearnold,120000,Twitter
Steve Guttenberg,New York,United States,Anna Trebunskaya,19571216,US_State,Census 2023 PEP,AnnaTrebunskaya,50000,Twitter
Steve Wozniak,California,United States,Karina Smirnoff,38965193,US_State,Census 2023 PEP,KasrinaSmirnoff,210000,Twitter
Steve-O,,England,Lacey Schwimmer,56490048,Country,World Bank 2023,LaceySchwimmer,85000,Twitter
Sugar Ray Leonard,North Carolina,United States,Anna Trebunskaya,10835491,US_State,Census 2023 PEP,AnnaTrebunskaya,50000,Twitter
Suni Lee,Minnesota,United States,Sasha Farber,5737915,US_State,Census 2023 PEP,SashaFarber,180000,Twitter
Susan Lucci,New York,United States,Tony Dovolani,19571216,US_State,Census 2023 PEP,TonyDovolani,180000,Twitter
Suzanne Somers,California,United States,Tony Dovolani,38965193,US_State,Census 2023 PEP,TonyDovolani,180000,Twitter
Tamar Braxton,Maryland,United States,Valentin Chmerkovskiy,6180253,US_State,Census 2023 PEP,ValChmerkoskiy,850000,Twitter
Tatum O'Neal,California,United States,Nick Kosovich,38965193,US_State,Census 2023 PEP,,5000,estimate
Tavis Smiley,Mississippi,United States,Sharna Burgess,2939690,US_State,Census 2023 PEP,SharnaBurgess,480000,Twitter
Ted McGinley,California,United States,Inna Brayer,38965193,US_State,Census 2023 PEP,,2000,estimate
Teresa Giudice,New Jersey,United States,Pasha Pashkov,9290841,US_State,Census 2023 PEP,PashaPashkov,120000,Twitter
Terra Jole,Texas,United States,Sasha Farber,30503301,US_State,Census 2023 PEP,SashaFarber,180000,Twitter
Terrell Owens,Alabama,United States,Cheryl Burke,5108468,US_State,Census 2023 PEP,CherylBurke,450000,Twitter
The Situation,New York,United States,Karina Smirnoff,19571216,US_State,Census 2023 PEP,KasrinaSmirnoff,210000,Twitter
Tia Carrere,Hawaii,United States,Maksim Chmerkoskiy,1435138,US_State,Census 2023 PEP,MaksimC,520000,Twitter
Tinashe,Kentucky,United States,Brandon Armstrong,4526154,US_State,Census 2023 PEP,Brandon_DWTS,85000,Twitter
Tom DeLay,Texas,United States,Cheryl Burke,30503301,US_State,Census 2023 PEP,CherylBurke,450000,Twitter
Tommy Chong,,Canada,Peta Murgatroyd,40097761,Country,World Bank 2023,PetaMurgatroyd,620000,Twitter
Toni Braxton,Maryland,United States,Alec Mazo,6180253,US_State,Census 2023 PEP,AlecMazo,15000,Twitter
Tonya Harding,Oregon,United States,Sasha Farber,4233358,US_State,Census 2023 PEP,SashaFarber,180000,Twitter
Tori Spelling,California,United States,Pasha Pashkov,38965193,US_State,Census 2023 PEP,PashaPashkov,120000,Twitter
Trevor Donovan,California,United States,Emma Slater,38965193,US_State,Census 2023 PEP,EmmaSlaterDance,350000,Twitter
Trista Sutter,Indiana,United States,Louis van Amstel,6862199,US_State,Census 2023 PEP,LouisVanAmstel,35000,Twitter
Tucker Carlson,California,United States,Elena Grinenko,38965193,US_State,Census 2023 PEP,,8000,Instagram estimate
Ty Murray,Arizona,United States,Chelsie Hightower,7431344,US_State,Census 2023 PEP,ChelsiHightower,95000,Twitter
Tyson Beckford,New York,United States,Jenna Johnson,19571216,US_State,Census 2023 PEP,jennajohnson,680000,Twitter
Valerie Harper,New York,United States,Tristan MacManus,19571216,US_State,Census 2023 PEP,TristanMacManus,75000,Twitter
Vanessa Lachey,,Philippines,Maksim Chmerkoskiy,117337368,Country,World Bank 2023,MaksimC,520000,Twitter
Vanilla Ice,Texas,United States,Witney Carson,30503301,US_State,Census 2023 PEP,WitneyCarson,520000,Twitter
Veron Davis,Washington D.C.,United States,Peta Murgatroyd,334914895,Country,World Bank 2023,PetaMurgatroyd,620000,Twitter
Victor Espinoza,,Mexico,Karina Smirnoff,128901000,Country,World Bank 2023,KasrinaSmirnoff,210000,Twitter
Victor Ortiz,Kansas,United States,Lindsay Arnold,2940546,US_State,Census 2023 PEP,lindsayarnold,380000,Twitter
Victoria Arlen,New Hamshire,United States,Valentin Chmerkovskiy,334914895,Country,World Bank 2023,ValChmerkoskiy,850000,Twitter
Vinny Guadagnino,New York,United States,Koko Iwasaki,19571216,US_State,Census 2023 PEP,,15000,Instagram estimate
Vivica A. Fox,Indiana,United States,Nick Kosovich,6862199,US_State,Census 2023 PEP,,5000,estimate
Von Miller,Texas,United States,Witney Carson,30503301,US_State,Census 2023 PEP,WitneyCarson,520000,Twitter
Wanya Morris,Pennsylvania,United States,Lindsay Arnold,12961683,US_State,Census 2023 PEP,lindsayarnold,380000,Twitter
Warren Sapp,Florida,United States,Kym Johnson,22610726,US_State,Census 2023 PEP,KymHerjavec,280000,Twitter
Wayne Brady,Georgia,United States,Witney Carson,11029227,US_State,Census 2023 PEP,WitneyCarson,520000,Twitter
Wayne Newton,Virginia,United States,Cheryl Burke,8683619,US_State,Census 2023 PEP,CherylBurke,450000,Twitter
Wendy Williams,New Jersey,United States,Tony Dovolani,9290841,US_State,Census 2023 PEP,TonyDovolani,180000,Twitter
Whitney Leavitt,Utah,United States,Mark Ballas,3417734,US_State,Census 2023 PEP,MarkBallas,650000,Twitter
Willa Ford,Florida,United States,Maksim Chmerkoskiy,22610726,US_State,Census 2023 PEP,MaksimC,520000,Twitter
William Levy,,Cuba,Cheryl Burke,11194449,Country,World Bank 2023,CherylBurke,450000,Twitter
Willow Shields,New Mexico,United States,Mark Ballas,2114371,US_State,Census 2023 PEP,MarkBallas,650000,Twitter
Wynonna Judd,Kentucky,United States,Tony Dovolani,4526154,US_State,Census 2023 PEP,TonyDovolani,180000,Twitter
Xochitl Gomez,California,United States,Valentin Chmerkovskiy,38965193,US_State,Census 2023 PEP,ValChmerkoskiy,850000,Twitter
Zendaya,California,United States,Valentin Chmerkovskiy,38965193,US_State,Census 2023 PEP,ValChmerkoskiy,850000,Twitter
